상품명,상세페이지링크,가격
"에이수스 VivoBook S14 노트북 드리미 실버 S433FL-EB167 (i5-10210U 35.56cm WIN미포함 GeForce MX250), 미포함, NVMe 512GB, 8GB",https://www.coupang.com/vp/products/1661534094?itemId=2831043979&vendorItemId=70820487958,804300
"LG전자 울트라PC 노트북 15UD490-GX56K (R5-2500U 39.6cm), SSD 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1662937291?itemId=901982749&vendorItemId=5308322087,677300
"LG전자 울트라 PC 노트북 (39.6cm SSD128GB), 팬티엄 5405U, 4GB, WIN10 Home",https://www.coupang.com/vp/products/175609012?itemId=1086329616&vendorItemId=70078672337,612250
"삼성전자 노트북 Plus NT550XCR-AD5A 퓨어 화이트 (i5-10210U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1460144584?itemId=2512333880&vendorItemId=70505363314,1119000
"HP 노트북 14s-dq1002TU (i3-1005G1 35.6cm WIN미포함 Intel UHD), 미포함, SSD 128GB, 4GB",https://www.coupang.com/vp/products/1637522480?itemId=2792739892&vendorItemId=70782432013,426830
"LG전자 울트라 PC 노트북 15UD490-GX5YK PRO 퓨어 화이트 (R5-2500U 39.6cm), SSD 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1662949452?itemId=2236151425&vendorItemId=70233671660,674400
"LG전자 울트라 PC 노트북 15U70N-GR56K 다크실버 (i5-10210U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1235704358?itemId=2253862923&vendorItemId=70251212343,1074800
"마이크로소프트 서피스 랩탑 3 VGY-00019 (i5-1035G7 34.2cm WIN10 RAM 8GB SSD 128GB 인텔 Iris Plus Graphics 950), 플래티넘",https://www.coupang.com/vp/products/344383002?itemId=1094018709&vendorItemId=5611967486,1330000
"에이수스 비보북 R424DA-EB447 (라이젠5-3500U 35.56cm WIN미포함 Vega 8), 미포함, 512GB SSD, 8GB",https://www.coupang.com/vp/products/1717515750?itemId=2923100699&vendorItemId=70911752360,599000
"HP 파빌리온 13 노트북 an1007TU (i5-1035G1 33.78cm), Mineral Silver",https://www.coupang.com/vp/products/164257346?itemId=471208070&vendorItemId=4177618592,779000
"레노버 ThinkPad 노트북 E595-SOLT (라이젠3 3200U 39.6cm FHD IPS WIN미포함 Radeon RX Vega 3 Graphics), 미포함, SSD 128GB, 8GB",https://www.coupang.com/vp/products/1096227339?itemId=2053905262&vendorItemId=70053200514,458500
"LG전자 울트라 PC 노트북 15UD480-GX3DK (i3-8130U 39.6cm), SSD 128GB, 4GB, Free DOS",https://www.coupang.com/vp/products/1662926964?itemId=302188727&vendorItemId=4517706416,597810
"HP 노트북 스노우 화이트 14s-dq1092TU (i3-1005G1 35.6cm WIN10), 포함, SSD 256GB, 4GB",https://www.coupang.com/vp/products/1704674863?itemId=2900898354&vendorItemId=70889844168,559000
"삼성전자 노트북5 NT550EBZ-AD3AH 퓨어 화이트 (i3-8130U 39.6cm), NVMe 256GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1465065260?itemId=2519650417&vendorItemId=70512553000,820840
"HP 노트북 15s-eq0079AU, 8GB, 256GB, 미포함",https://www.coupang.com/vp/products/1601786630?itemId=2735913209&vendorItemId=70726012028,496000
"Apple 2020년 맥북 프로 13 터치바, Space Grey, i5-2.0GHz quad-core, SSD 512GB, 16GB",https://www.coupang.com/vp/products/1650206709?itemId=2811516993&vendorItemId=70801067230,2490000
"레노버 IdeaPad 노트북 S145-14IIL Classic G4 Iris i5 FreeDos 81W6003DKR 그레이 (i5-1035G4 35.5cm WIN미포함), 미포함, SSD 128GB, 4GB",https://www.coupang.com/vp/products/1251699011?itemId=2251149681&vendorItemId=70248525931,499000
"레노버 아이디어패드 슬림 S340-14IWL 81N700ALKR 81N7 (I7-8565U 35.5cm WIN미포함 RAM 4GB SSD 256GB), 81N7, ONYX BLACK",https://www.coupang.com/vp/products/310096329?itemId=977545405&vendorItemId=5392782051,699000
"레노버 아이디어패드 노트북 Platinum Grey S150-11 81VT (Intel Celeron N4020 29.5cm WIN10 Home S), 포함, eMMC 64GB, 4GB",https://www.coupang.com/vp/products/1547994015?itemId=2649830784&vendorItemId=70640681587,279000
"Apple 2020 맥북 에어 13, Silver, 10세대 i5-1.1GHz quad-core, SSD 512GB, 16GB",https://www.coupang.com/vp/products/1395425733?itemId=2478684564&vendorItemId=70472016354,1990000
"HP Pavilion 노트북 13-an1006TU (i5-1035G1 33.78cm WIN미포함 멀티터치패드), 미포함, 256GB, 8GB",https://www.coupang.com/vp/products/1073743352?itemId=2023053892&vendorItemId=70022704203,699000
"HP 노트북 13-an1008TU (i3-1005G1 33.8cm WIN미포함 B&O 오디오), 미포함, 256GB, 8GB",https://www.coupang.com/vp/products/1073942234?itemId=2023279590&vendorItemId=70022924989,589000
"LG전자 2020 그램15 노트북 15ZD995-VX50K (i5-10210U 39.6cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1665029204?itemId=2250200298&vendorItemId=70247583821,1357900
"화웨이 메이트북 D14 Nbl-WAQ9R (Ryzen 5-3500U 35.56cm WIN10 Home Vega 8), 포함, SSD 512GB, 8GB",https://www.coupang.com/vp/products/1422105528?itemId=2460798876&vendorItemId=70454302008,711530
"한성컴퓨터 노트북 H58 DGA3 (WIN미포함 i3-8100 UHD630 8GB SSD240GB 39.62cm), H58 / DGA3, 혼합 색상",https://www.coupang.com/vp/products/323577237?itemId=1036060770&vendorItemId=5489331968,559000
"레노버 IdeaPad 노트북 S145-14IIL Classic G4 Iris i5 FreeDos 81W6003EKR 블랙 (i5-1035G4 35.5cm WIN미포함), 미포함, SSD 128GB, 4GB",https://www.coupang.com/vp/products/1251699112?itemId=2251149811&vendorItemId=70248526004,499000
"삼성전자 갤럭시북 플렉스 NT930QCG-K716A 로얄 블루 (i7-1065G7 33.7cm), NVMe 1TB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/1665368309?itemId=2098034286&vendorItemId=70096919483,2448000
"디클 클릭북 D14 (셀러론 N4000 35.8cm WIN10 RAM 4GB eMMC 64GB)+ 키스킨 랜덤 발송 + 유선마우스 + 패드, 레몬",https://www.coupang.com/vp/products/323177971?itemId=1034984465&vendorItemId=5487020445,309000
"Apple 2019년 맥북 프로 터치바 16, 스페이스 그레이, i9-2.3GHz 8-core, SSD 1TB, 32GB",https://www.coupang.com/vp/products/1066005124?itemId=2288954900&vendorItemId=70285984279,4180000
"HP ENVY 360X 15-dr1010TX 노트북 TPN-W142 (i7-10510U 39.6cm FullHD RAM 16GB WIN10 256GB NVMeSSD Geforce MX250), 포함, SSD 256GB",https://www.coupang.com/vp/products/1065853386?itemId=2012552958&vendorItemId=70012405574,1469000
"LG전자 2020 그램14 노트북 14ZD90N-VX50K 스노우 화이트 (i5-1035G7 35.5cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1662857795?itemId=2057670061&vendorItemId=70056945094,1329200
